,errorLimit,f1,fbest,freq,grad,sol,time
0,0.1,50,[13.87705024],"53.810025001730516, 255.67695481977725, 416.1146087659148, 666.1869273458427, 785.4908366085082, 1018.7645777674326",200,"[3.090344507126296, 2.8150208753454455, 3.6050458333342927, 3.633597960837313, 2.4297613585182414, 2.9699738711199895, 2.9810363465962957, 3.5189581022870047, 2.0907601769096997, 2.524231464259029, 3.2633032273100757, 3.5829691134968127, 2.317275709207629, 2.688516214180287, 2.856830151078553, 2.9660978724961122, 2.363334136377165, 2.9515510981206776, 3.865773381230544, 3.4924772784939733, 3.2720746982345217, 3.2612684587037766, 3.323912741764184, 3.7193051456913833, 5.31156884977045, 4.174814113087816, 4.309542721199669, 2.4507783386731625, 2.8065036318673346, 3.49558138318058, 2.281248769656467, 2.9577999654104987, 4.326229143997353, 3.1598169497577966, 2.000265806435113, 4.513548349952629, 3.3935270639349953, 2.682290690749001, 4.052096996316722, 2.7309494015269595]",3601.968254327774
1,0.1,50,[18.65819138],"53.36978092014831, 384.5773952629302, 796.8282603960079, 1223.8033042485715, 1541.4273324114772, 2006.4130353636972",400,"[2.6565869339984776, 3.4398243801196284, 2.160661024163718, 3.398088700984253, 3.3240190310374937, 1.9862191643563916, 2.4632414727312404, 2.904093827382275, 4.15282369092772, 2.654621239977066, 4.389713182334827, 4.740883131003513, 3.5606486820287824, 3.3485236794323985, 2.4384612380895607, 4.614671288291122, 2.5736774625650427, 3.76234509665285, 6.019890231052922, 4.666525131566838, 2.485758332671748, 2.9895214328078783, 4.725723704360725, 5.16868506054612, 3.2359914472812275, 5.149603314939972, 4.121736451685349, 2.9833246426269344, 5.341155716734478, 2.726056350831981, 2.673741937953925, 2.892499023237484, 5.050081682756801, 3.6401784815484617, 4.771152205019552, 2.5311574825394905, 3.705697232368584, 6.2914397331710825, 3.453033450807701, 3.4829263568430884]",3632.5512914657593
2,0.1,50,[10.41804059],"52.75721098589378, 611.980661685538, 1194.985508656911, 1789.7014041652171, 2358.5962482253676, 3051.3692736477547",600,"[3.058861356268299, 2.3256786864289856, 2.5469885631352307, 3.0946781677600588, 3.201126390538081, 4.866442082379608, 2.5604395326765523, 4.032235525259943, 5.335512781718261, 3.568874513081412, 3.8162551032064895, 3.754839595697367, 2.579505787850476, 4.1440554466415085, 2.2010700301757287, 3.480430404846941, 4.317665637940589, 4.627474370745132, 2.784949810423194, 4.8286149076053295, 3.521822597468454, 4.6147025623945765, 2.37736877223859, 4.689849357324011, 3.859118413848815, 4.882965167678845, 4.519839546722575, 4.278191789407325, 2.424892153457362, 5.04711151304602, 2.5268881110103, 2.555278273349627, 2.4740006073943905, 3.2700152359682857, 4.711473688767771, 2.9590793259012287, 2.956565561144131, 3.979907122811521, 2.8027802723161876, 3.421492029096743]",3609.7114894390106
3,0.1,50,[44.1868134],"63.546226045932016, 729.7027640846119, 1562.4126548125873, 2144.247124942704, 2665.7996878183867, 3134.358916935695",800,"[5.596654759123426, 2.0595941949441214, 2.9925681056418183, 3.0949440091421954, 2.7708187303289566, 3.241312118954572, 3.6796714766382967, 3.7347241821084127, 5.282711368120529, 6.003894920537743, 4.064745552353443, 5.553673437523306, 3.04006518068757, 5.197920962854311, 5.027321857373693, 4.390852392730888, 3.3156350625311726, 4.167611485679962, 2.672239515392797, 3.573450365858691, 3.4025091704579986, 3.7640664035518943, 4.425848019290585, 5.4522005708190795, 3.8445173440209635, 3.8262083813673127, 6.585326242208802, 4.609922261733478, 5.4005086620272555, 3.758022149009525, 2.6690565004567266, 3.1429585746533917, 3.3246834362062936, 5.2686623519982865, 3.650536090643762, 5.496399127750382, 4.167689967526147, 3.8284500153019065, 5.7067499929950145, 5.377243738861609]",3609.5112788677216
4,0.1,200,[7.28978959],"191.91631351432338, 406.7620186457742, 624.6349978064868, 804.4124441691214, 977.8477631235842, 1158.6436133122015",200,"[3.129596468717238, 4.30013034864444, 2.497613918981232, 3.475522820766537, 3.868412361610103, 3.4282081620650082, 4.2730436753805545, 3.4011378746505874, 3.5179221993442926, 3.186549122225383, 3.7214928478795293, 4.175422634389864, 3.6892671840371025, 2.178014148056729, 2.4992484876426926, 4.217730183636264, 3.39776123520434, 3.8539219785228127, 2.3311970504663586, 3.676792609555921, 3.050127892624373, 3.7788056358557838, 4.569374433550206, 2.9082652670863998, 3.001648636024947, 3.694270367595286, 2.718549915850838, 2.2603409047517204, 2.9756670008767068, 3.002338543193578, 2.4036959856343842, 3.463524044749032, 3.73601801711824, 2.0651261822016282, 2.539929096459882, 2.663941769884962, 2.5295540107770726, 2.253189000285163, 4.332671239822003, 2.932981965710095]",3602.528552055359
5,0.1,200,[11.79807452],"191.8806079384794, 572.4035794661448, 1024.0927430508393, 1506.6056999090326, 1711.0607221740443, 2280.40266018632",400,"[2.685934447530255, 3.4451502853157665, 2.6615264001811423, 3.993098090790405, 4.388988773300929, 4.789814584802497, 3.0368571738256054, 3.279854987528754, 3.1410751177102822, 3.8107742994572167, 3.106270053055879, 2.238230595799006, 3.2982082797862873, 2.922181445300552, 4.751400574867611, 3.8047567242435454, 2.8912045836324425, 2.7515990084973225, 4.886588921270045, 3.3328105530472953, 4.684926818862324, 3.459402017505064, 4.195390873975145, 2.9182809408910395, 3.6024671391968206, 4.5142928507127476, 2.7236624145169084, 3.9437720041308366, 2.5084916329627043, 2.9888433975443216, 3.4759472367705366, 2.8455831564287655, 4.802522015645528, 3.9323728241071603, 2.0775222728073723, 3.340885836590881, 4.132014068262642, 2.0926995509308544, 3.3342179962120335, 3.809098105750292]",3612.361965894699
6,0.1,200,[8.51932459],"189.95147458696033, 811.3304710865742, 1332.8958055742353, 1948.8560149509706, 2607.8483256033555, 3073.1047408541936",600,"[3.1521012508710897, 2.616175242089993, 5.084088936882643, 3.734179046758567, 3.5847670345951315, 3.6156737453077517, 4.071262235744689, 2.8719125239453005, 3.864011217148517, 2.758082321305873, 2.888231543558586, 3.825525660866103, 2.876226278343928, 3.070713681971836, 3.5244893507186026, 3.2171076680099446, 3.6875588331518543, 3.2843242727311646, 2.6662708187134365, 4.517441752174598, 3.735999673223962, 5.114684268697716, 2.1064992225967445, 4.387373757271888, 2.418238080016803, 3.865228552320265, 2.655394213624322, 3.6390234419499374, 2.999348620704179, 4.480711362916756, 2.6022468368076113, 3.472901413051683, 4.323418385737842, 2.585036763574866, 2.684367711349088, 3.3838197259950533, 2.8194943574528835, 3.22835149144624, 3.157780986384268, 3.2092710951719354]",3612.2208211421967
7,0.1,200,[7.02675252],"208.87314280619677, 1018.7136058286557, 1756.408022032838, 2667.923477895087, 3344.1036586895566, 4338.009940545317",800,"[3.7740854178995042, 2.7453565159109377, 3.625646941491388, 2.676307199762199, 3.0828432254234492, 3.3149384294192057, 4.305393917172766, 2.738877899985685, 4.45452165726516, 3.2308480485250692, 3.3635574994332478, 3.132288453841436, 3.669551389677368, 4.5525060357008185, 4.6828428163563265, 4.66307633558316, 3.6927791567286863, 4.805036488174607, 3.624237521348135, 4.082646158594409, 4.544116329046273, 3.943126393706545, 3.328757249207431, 2.427552411307184, 4.309737426013298, 2.449438043438391, 3.071952252020435, 3.854410318143072, 3.8552350978399903, 3.7256387297651767, 3.0626668139887205, 3.7888717537373515, 2.700737320241595, 3.1944748067682878, 2.9964496286854043, 4.164377608151948, 3.737190979889145, 3.792484395217132, 4.151381606634494, 3.640536108665753]",3630.166417121887
8,0.1,300,[7.84041034],"294.1797770372481, 513.8055503052665, 711.5612640981382, 887.1091514362107, 1038.9280676285125, 1349.4691219336225",200,"[3.7196532029223426, 3.067151584483997, 4.515106695182296, 2.618569763860701, 5.105043789320349, 3.045424038124262, 2.9972771531611104, 2.9815586885928984, 3.1693318017577656, 4.4946773603073655, 3.6007944513085715, 3.059094239303576, 2.229664925353934, 3.611782289458276, 3.6682960689848487, 2.686451707160119, 5.6876347269175485, 4.144703189575008, 2.9628499137166857, 2.7264793639918934, 2.771852618121181, 3.6356462951076463, 3.969252565563121, 2.053510329322466, 2.489276116385417, 3.9074797008739823, 2.939810008076253, 3.2552423879235293, 3.2335198467051347, 3.775253587997971, 2.3763847758653984, 3.1579715423765777, 2.546364862136513, 3.8462902451053025, 1.9392299986331143, 2.672960829754804, 3.0851280711746547, 3.082216208540376, 2.1650084500216438, 2.6436943541449627]",3605.2378754615784
9,0.1,300,[9.47184656],"288.1947984259895, 702.9030808711047, 1133.9999107762733, 1493.7847505962088, 2014.4451831120546, 2178.182363895196",400,"[3.929656672166613, 2.3605451020418973, 4.6375082251289035, 3.4455652689225924, 2.5471194160307435, 3.376638799820087, 3.5632702208186346, 4.861745195500255, 2.9075686952724396, 5.242370259881016, 2.740195136404562, 2.907146385681252, 4.948122483042165, 3.502386754984837, 2.3965074293695716, 2.1730202555580496, 3.9093767551695713, 4.1545869143878384, 3.13404355808447, 4.128668484306881, 4.537837497586765, 4.031327986764256, 3.1767687034554566, 3.498482549400605, 3.3679833005775928, 4.088471420228889, 2.2654784355850395, 4.304693028270743, 3.4208818627671693, 3.293109447712869, 3.3534578356319518, 3.282062960923505, 3.1306808932034276, 2.6740255697152704, 3.338900950724664, 3.391119084491098, 3.551697335650146, 3.9837277570767733, 2.515117617627286, 3.552324659195254]",3614.872538805008
