,crossover,errorLimit,f1,fbest,freq,grad,nPop,sol,time
10,NotModalSixPoint,0.1,150,[3.01904629],"164.7497373006084, 650.6907323567857, 1150.038575391905, 1551.8100732016767, 2102.2910115988184, 2650.0416387287773",500,40,1111101110011001110110110000100101000001,3607.8781056404114
11,NotModalSixPoint,0.1,150,[6.1124784],"150.5350856626311, 751.7781070673963, 1357.7385904072387, 1462.1601954873488, 2321.8971681609682, 3198.673857301946",600,40,1101100110111111111111010010110011101110,3608.7891595363617
12,NotModalSixPoint,0.1,150,[8.7780897],"156.06157044126934, 859.7092759921742, 1516.9509234667187, 1601.6586777983919, 2488.7126186440187, 3682.8863065107666",700,40,1001110111111111111110111100110001100111,3612.9440672397614
13,NotModalSixPoint,0.1,150,[11.56461542],"162.5257206956143, 959.4935287689427, 1638.874794493703, 1698.80289430078, 2692.9684211623935, 4178.830874400111",800,40,1001111111111111111110111110111011001100,3613.3924412727356
14,NotModalSixPoint,0.1,200,[18.1489326],"67.93023083396396, 397.9164183610914, 598.0347318044302, 746.8415869795898, 1045.137926061891, 1570.2201197405225",200,40,0000101000001111111110000000000000000001,3608.902366876602
15,NotModalSixPoint,0.1,200,[11.71431347],"130.55228819990288, 497.97091815145586, 800.1428300635849, 1102.5742843259059, 1431.6782883715534, 2254.907098925057",300,40,0010111101111001111100001111000000000001,3611.3718762397766
16,NotModalSixPoint,0.1,200,[6.59280342],"164.34325860197515, 598.702523195264, 1003.1956604097019, 1248.8917895083523, 1855.7732530821502, 2360.6149593770583",400,40,0110011100111011111111110000001000000000,3608.6812875270844
17,NotModalSixPoint,0.1,200,[3.01024892],"183.4237760630944, 729.5328233299432, 1224.8756124455301, 1695.5992974905046, 2179.9417173301213, 2762.392520221149",500,40,1111110110111111110110010001100010001000,3613.3845477104187
18,NotModalSixPoint,0.1,200,[4.81104605],"196.0582193265448, 820.3740308537518, 1391.9317724048497, 1700.565912188396, 2389.368942207256, 3222.381798879571",600,40,1111111111111111111111010010110010010001,3611.5610127449036
19,NotModalSixPoint,0.1,200,[7.11665282],"204.56493843740034, 956.3824338719099, 1597.0141832855884, 1785.7539234703004, 2655.4910443736476, 3704.5866062819246",700,40,1111111111111111111101011010101011000000,3607.923513650894
20,NotModalSixPoint,0.1,200,[9.50928249],"200.7740080216401, 1046.2210917660925, 1744.8623213931821, 1801.694411168916, 2826.5111353185875, 4259.303861485183",800,40,1111111111111111111110101110011011100000,3608.7403910160065
21,NotModalSixPoint,0.1,250,[19.90393055],"86.12456185747101, 432.560151521444, 662.3731599902738, 858.9598324019203, 1098.4810297894574, 1780.2873025039485",200,40,0001010001110000111111110000000000000001,3609.2023701667786
22,NotModalSixPoint,0.1,250,[13.61182081],"133.62163169762388, 554.7868289798448, 857.4640020936379, 1095.4242908412155, 1525.0632418671883, 2160.3511644275677",300,40,1010001110110001111101111000000000000110,3611.7310485839844
23,NotModalSixPoint,0.1,250,[8.74963329],"168.65903962430983, 663.385028129913, 1064.2553118897554, 1332.3229982188475, 1807.6505672769335, 2388.143653677409",400,40,0011011111101111111111111010000000000100,3608.1904072761536
24,NotModalSixPoint,0.1,250,[4.71319683],"192.72980189454745, 739.1420125269163, 1261.238306445303, 1746.548390794605, 2206.1269196590615, 2774.121791738732",500,40,1111101111111111111111011000000100011000,3610.131057024002
25,NotModalSixPoint,0.1,250,[6.99995799],"210.49172365025137, 907.1625131678122, 1453.6658742387235, 1838.843042277809, 2421.743682673374, 3259.907026651109",600,40,1111111111111111111110010001100100010000,3617.0560903549194
26,NotModalSixPoint,0.1,250,[9.96752187],"206.7845977927039, 1015.0319084783753, 1656.0352890438005, 1861.7904154801483, 2629.0802110778827, 3722.54225837041",700,40,1111111111111111110111010011011100100000,3619.8221242427826
27,NotModalSixPoint,0.1,250,[11.7265247],"205.65319149730095, 1050.423588981479, 1798.6219755727313, 1844.6799422399574, 2798.893869758477, 4227.015366479029",800,40,1111111111111111111101010111011001100000,3613.5706837177277
28,NotModalSixPoint,0.1,300,[19.50364118],"105.06202232086687, 483.11233271253826, 714.8355283034929, 900.6305279909984, 1160.920710458914, 1832.1851793990108",200,40,0010101010110000111111110000000000000001,3614.1646814346313
29,NotModalSixPoint,0.1,300,[12.68729662],"145.0470604087635, 584.7786652022669, 907.7623705657653, 1208.1559601074898, 1506.7681030322412, 2158.9659880946406",300,40,1101110100111001000110000001000000000000,3608.5069329738617
30,NotModalSixPoint,0.1,300,[9.04401475],"180.24133933448675, 682.1210786554074, 1164.1474232309354, 1499.9171709400796, 1801.9657323765775, 2318.2527804284023",400,40,1111101101011011100110010010000000000000,3618.0675163269043
31,NotModalSixPoint,0.1,300,[7.34966189],"198.74450816305793, 797.2252049186445, 1325.810542292754, 1759.2885471594357, 2185.29068037334, 2821.4131655463734",500,40,1111111111011011101110110100000100010000,3610.8458137512207
