,errorLimit,f1,fbest,freq,grad,sol,time
10,0.1,200,[5.85343419],"174.4231440463958, 742.7055415646364, 1447.3318108390959, 1871.7731028563735, 2708.4411929568005, 3238.6357207265587",600,"[3.9682814409894043, 4.2807839466823685, 4.280802971856859, 2.9483683779981114, 3.693800589302837, 2.865913770151126, 3.198109681691446, 2.750279251328779, 2.8805234905032013, 3.6099610231721515, 3.0303544077741806, 3.2022509528675283, 4.001898796722144, 4.680725869499824, 2.560255134787591, 3.8126325842217224, 4.413262016968277, 2.652890867597721, 4.02987155444559, 5.88742684371636, 3.1085572970770667, 2.2895172647908115, 3.9732601008073134, 3.603318876324852, 2.277559540500672, 3.9180904014525693, 3.699823996771812, 3.9767012903772487, 2.675998440736264, 4.115051009016552, 3.247812709414949, 4.319820274253468, 3.7233078363912013, 3.0243470960673897, 3.534112173015482, 2.9461902235602393, 3.438999822923351, 4.608823665838172, 2.7243516510308043, 4.13814312130139]",3628.2387635707855
11,0.1,200,[4.05041295],"198.95832058083832, 758.2320886868846, 1505.9941774710849, 1902.3476842042423, 2567.4380941369677, 3044.651532567066",600,"[2.918485482992501, 2.2244939394620906, 3.827857383245118, 4.3300099569129635, 3.3546850938977855, 3.660787354346323, 3.422245690467809, 3.2372469800358723, 3.74977341051418, 3.1041009096381686, 2.41054906177841, 5.10291471533806, 3.037632788463051, 2.817229639172105, 3.9617530304510815, 3.448740789812698, 2.4655243923955754, 4.331483503125846, 3.405692350799163, 2.5266472537699314, 3.9255831808700177, 3.8454084320997435, 3.4054119811889096, 2.355483649571528, 3.085405396038321, 3.459135596525923, 4.098721247577502, 4.210529634854969, 2.9664352759997645, 5.102233883508119, 3.8325490662829367, 3.1624206442976703, 3.709425092564809, 2.864207569646377, 3.3759375557983513, 3.0682079573263668, 3.399000298870006, 4.369186301144041, 3.1639302305593704, 3.418727658966173]",3605.704610109329
12,0.1,200,[4.14460371],"186.86010376675006, 856.3038829530183, 1367.0266390338775, 1862.8343328369322, 2549.2821552298988, 3196.9446723695974",600,"[4.059468965299483, 3.7599235757085196, 4.6927991774576, 2.9619975532602423, 2.860625182246454, 3.4989917616570523, 3.305865368120503, 4.305634720416904, 3.7570335910664703, 3.4828506843492875, 2.8520874476238385, 3.149035537126664, 3.297554970503636, 2.5253695124870807, 4.878308605290827, 4.682931772937871, 6.64930888169288, 4.997432804692127, 4.271975970585629, 3.207630726219539, 2.7695401650568714, 2.843308294778236, 2.850958791750489, 4.638856705636367, 3.3284584416194902, 2.498826221316159, 2.19797022862939, 4.5714008348816115, 4.211586886190485, 4.985620896571953, 4.047812351772314, 3.484834838282168, 3.7793517734958266, 2.5214441612249177, 5.317938216067112, 3.9577415468666413, 3.459938882411086, 3.5063685342033373, 2.726661095240164, 2.411144124971391]",3603.287343263626
13,0.1,200,[3.97354137],"203.90077628271803, 775.5718521250968, 1512.911268125972, 1930.2863703347382, 2481.3669504331765, 3287.1603185474573",600,"[4.638443515921203, 4.259256087490189, 4.95212344418003, 5.358401094630947, 5.524461932937158, 2.743408099932408, 3.4317933073106133, 4.253785527133805, 3.2235743304096656, 2.7886992996678788, 3.058778277856625, 3.537222480643272, 2.500893026550191, 3.29523039568431, 3.905754114075883, 3.078067347279037, 3.3247860007999983, 4.147265018115339, 2.9645214061960568, 2.9914537327441515, 2.948285247988623, 4.284025631622708, 2.7503913282782206, 2.3685454798524517, 4.757321452088053, 4.439712692675137, 2.614193843733558, 2.9560270548254164, 2.721568506007222, 3.8969978029318693, 3.038190540269047, 2.5875215922042605, 3.1713608961745465, 3.7880794733916954, 3.382350940965895, 4.41982645530071, 3.2843949602357805, 2.3294798440697337, 3.163899398410266, 4.039825051124996]",3613.0327689647675
14,0.1,200,[3.73487347],"191.9007385162787, 787.4086863477731, 1479.585706780033, 2114.0234228439767, 2534.1795345038613, 3291.7848013275757",600,"[2.749883269199178, 3.7398946140492977, 4.171629113305112, 3.405259325481942, 2.776498625150296, 4.706973994566005, 5.0271344104949165, 2.9197237857093556, 2.6346467954348696, 3.64161763684045, 5.150116272753002, 2.3061377065817936, 3.4509868099989998, 2.805774728603784, 3.1856243284956753, 3.45137822169015, 2.9980170046723607, 3.0792660576075517, 4.086044715006009, 2.5628242981676608, 2.7251503605612153, 2.518243421117922, 3.5997844588684926, 4.7747482424747645, 2.9433434908385854, 2.5439713076762747, 5.799478281165157, 5.976150881534732, 2.980859751978313, 3.9747654021858594, 2.166777860024452, 4.15207800909631, 3.616221671784421, 3.0566024214952723, 3.5197087511153224, 3.019850596905345, 3.356051720964211, 5.079278604365916, 2.7620016739184563, 3.6476635195792215]",3632.247994184494
15,0.1,200,[4.1300937],"191.49626986322363, 829.6055793804333, 1474.615081255256, 1919.5907226457966, 2648.799704794368, 3020.768786006227",600,"[3.7858725689332364, 3.700245168152603, 3.3294725335009723, 3.0149901977335185, 3.140017830723797, 2.8835476957293875, 3.541139448839134, 3.841483351806297, 2.422002477653106, 3.6731975861093633, 2.456823792563326, 3.698926155184287, 4.475291960116985, 4.36826451997582, 4.495965609275278, 5.009092854448615, 3.112809066091339, 3.9212330026324493, 3.3963103784959947, 3.803408070696319, 4.04782680605176, 2.6088574614085625, 3.2521276624579367, 4.099623938832066, 4.617612277900971, 3.313888250017638, 4.6043420050813415, 3.1173823631823, 3.079756808555463, 3.0741215006129483, 3.7494706997670395, 2.8590497175462155, 4.758016914773301, 2.8127088266236506, 5.1294616114964, 3.436107040794621, 2.8941314912622405, 2.1958724235355964, 4.649898682017161, 4.757030391593105]",3628.3545358181
16,0.1,200,[3.73356392],"216.5950841698036, 804.4823471326035, 1386.8962098741135, 2198.6286209377354, 2636.058007227845, 3241.257136976897",600,"[5.429049380969114, 2.770692819881915, 2.848303955973538, 3.502608561704987, 3.9226986341891674, 4.766168975782458, 3.45634046758208, 4.268782188140602, 4.428507839663354, 4.370470486221223, 4.790539081813165, 3.3648051275794466, 4.043574453565445, 3.980202100078378, 2.118253224430037, 3.340541862952435, 2.9608322357547836, 2.7653653806785963, 3.077417179235721, 3.751558780612878, 2.7690374606312598, 2.19692895177344, 4.01321053350905, 2.481838870279302, 3.5533984254516064, 3.5779499026166954, 2.894026229355968, 3.899418636019539, 4.036943136232457, 2.9071504280012967, 4.1515640754168714, 3.0425970617871254, 3.4554979642735137, 2.987671878871892, 3.046787142355771, 3.779403458214547, 4.314329102559708, 3.818561696280705, 3.9543485161274896, 2.708107740520009]",3609.737018585205
17,0.1,200,[2.98622468],"208.33424605483256, 822.9434108883598, 1309.0362003902198, 1968.4700032248786, 2557.6768820166203, 3162.2216846199453",600,"[3.2940748570802794, 3.9589054483686215, 2.331536495238977, 2.520525147900874, 3.4666712850767287, 3.899684874868038, 2.810116789592076, 3.0606093421015195, 3.564763881662881, 3.8360110640396927, 2.8400351826718513, 3.9293713057924173, 3.2676296199890933, 2.5352364863695613, 2.731654424046873, 4.259903306129439, 3.060063850274684, 4.809683978267653, 3.0784945920409723, 4.504228799082096, 3.4287154492466536, 2.9965526514877046, 4.216402629961249, 3.946779658988405, 3.2519988106963447, 2.7055959110204713, 2.6156931383281816, 4.30824848465016, 3.031600443660068, 2.9850575784347932, 4.657371821925462, 2.993964574982639, 2.6534083625599063, 3.5384920175484145, 3.078994085704961, 3.244949939043823, 3.430787745645894, 3.173726630321387, 2.9146594040435896, 4.512674414847732]",3613.6008217334747
18,0.1,200,[2.43980532],"201.9928928505076, 759.9062719876339, 1398.4298307204479, 2063.9015180090746, 2475.5112515636247, 3182.8668850553886",600,"[2.817797511485075, 5.089301708939493, 5.184284791865069, 4.574235425369694, 4.299232255934918, 3.0232758838392595, 2.6790089759654205, 3.8863920293323737, 2.2985220699062285, 2.988936223158687, 4.134613059084865, 4.723740957295064, 4.993438065026024, 2.8232786257790994, 3.3752640599784534, 3.031407664803152, 6.389318927422645, 3.2203968640268674, 2.160828480394106, 4.657477092187891, 3.7656579426145336, 3.2509820952016604, 2.95378429506491, 4.040866875385244, 4.435975374272971, 4.391572286895937, 2.2061127909359803, 3.8703378618655777, 3.276144455220948, 4.1462497865284575, 4.257346693513366, 3.061083940127557, 3.474880352022916, 4.302692959932106, 2.2918756894913184, 3.5688387126870587, 4.58169341972141, 2.705478825347668, 2.798841834381281, 3.302478887289433]",3611.6642813682556
19,0.1,200,[3.76672092],"191.4404413956989, 831.3445922009887, 1470.9523122549724, 2069.0277271075356, 2457.4677678085427, 3187.1662529464497",600,"[3.873974147712588, 3.087363165847984, 3.439812956268836, 3.462557293426429, 2.8295489153339535, 2.555793943632899, 3.5867207224932334, 3.713466355839539, 2.4854692161359564, 2.839864967265051, 2.4150073021555345, 4.622492816177506, 3.558965193250662, 3.859708020224357, 2.438229728920634, 4.429051799809246, 3.568159539461154, 3.029393035119071, 2.7864971170633095, 4.2574628612129475, 3.895619313108975, 3.612689324723278, 4.099378886578515, 3.370564923186118, 4.497608796116386, 3.273054092857444, 2.709801889318286, 3.343881380815317, 3.2736254889661205, 3.5144258997522417, 4.115050383039491, 3.039698647543232, 4.336749777321143, 2.743355078737334, 4.370508351246897, 3.156186439730492, 5.9453920955068424, 3.432982025565096, 2.5368029903247247, 3.8597210866370646]",3601.2887177467346
20,0.1,200,[3.70114272],"216.5274778508531, 796.6931461048779, 1327.2046076474082, 1926.024050338853, 2575.6713732344406, 3318.2584279287094",600,"[5.2340590575757115, 3.5818061362480416, 2.4944977318692594, 4.074013163177779, 5.12981957445326, 2.9853592063207897, 4.021811619234206, 3.8987690970127367, 4.832917447784522, 2.7670043882732327, 3.0145095314008317, 3.3068005070784254, 3.242092082695673, 2.9600832209390227, 3.970232130409799, 3.418877480581837, 3.241033249363709, 2.942486566868258, 4.125304711288286, 4.6040503962542845, 2.91120719357148, 4.336199285788867, 4.317499766645433, 3.368018754286007, 3.4608836490996016, 2.611598439614567, 2.2641993336901365, 4.597550015488538, 3.6666523621555864, 2.821784564114053, 4.046343062709044, 3.1659296968039086, 2.820087161063405, 2.565280510806323, 5.296393450806688, 3.356694047697452, 3.6468493535906332, 2.548523685606452, 2.377271939148377, 3.4569378957829935]",3616.2442598342896
21,0.1,200,[5.5431779],"208.6407792172957, 816.677192163633, 1357.352631241865, 1840.4106722447436, 2782.143580781549, 2917.6704190556457",600,"[4.403207263639674, 3.9583567387664496, 4.330433509815541, 3.544695301024467, 3.4841751919374664, 2.9784133317502386, 2.6227722209368087, 3.593328327168847, 4.840916423330281, 3.253331974363936, 3.100152714991627, 3.795685672549866, 3.28805758588547, 3.446103398843678, 3.8512150940217387, 2.3940919428781133, 5.026388608487105, 3.0194038050401737, 2.3143442026557444, 4.304292515190689, 2.40488387493012, 4.1882928635585746, 2.1428012825381875, 2.8602028594950326, 3.6667782598786016, 2.4244773325291487, 3.809351985667702, 3.1136119973218808, 3.4497642434905664, 5.023922956363998, 2.892973128814675, 3.277894301568301, 2.5323427185816274, 4.455101964212901, 3.8331687881448975, 3.689484158748025, 4.357970847441315, 3.0152735380260602, 3.750215996302515, 3.266239597260048]",3619.5913298130035
22,0.1,200,[3.49231014],"201.18928636267978, 798.4878202541993, 1376.0127165407332, 1851.067095505046, 2700.5076636445847, 3428.623781964916",600,"[5.011523899531178, 4.396480815582995, 3.557316067621353, 2.6572931252088017, 4.512969787163293, 6.47934150248821, 3.5104245533176193, 2.816536298233178, 3.0682124045681185, 3.2500820032217774, 3.793616974469912, 3.0333801435909478, 4.508666698365979, 3.2742144144490473, 2.8710199835926695, 2.805568160957343, 4.219513438510495, 2.6771887407629458, 3.056730252754789, 3.0521147662029655, 3.7830659167326455, 3.747165866888735, 2.214716187918123, 3.4702060766995038, 3.304647318846223, 3.5386622221213284, 2.868791547879591, 3.9110786859810234, 3.7792698825060107, 4.104154932315902, 2.5525396065471444, 3.421070787364752, 2.584609414911373, 4.627150985964163, 3.614007420390662, 4.578927046023308, 2.5265305610036797, 3.2700805767988, 2.8368903560306795, 3.5025482335440903]",3623.7427308559418
23,0.1,200,[4.90977592],"209.06333072613495, 833.8739428629726, 1362.1665178584747, 2165.2022470836014, 2670.2775218514385, 3424.8723754187045",600,"[3.5801447330001785, 2.607310277174282, 3.1967865918642566, 3.0962822300626973, 4.899483332017271, 2.395458478819953, 3.0352299960453806, 3.7219238278090785, 4.194969966881084, 3.05635114722196, 3.9878527265725863, 3.662472223271023, 2.900421101491737, 4.055712429348475, 2.7068681464991458, 2.332006602327628, 4.514685451161724, 4.891693015344643, 4.024346798468434, 2.96682655479688, 3.4776289797196287, 3.2849881370422165, 3.4736752428174555, 2.7966029166202326, 4.115283340059463, 3.952589231656415, 4.682288755508806, 3.051889705448551, 4.242149223156294, 4.367097423573494, 2.629978569661735, 2.797510631181002, 3.5396293404777097, 3.936263698501446, 3.7490159076458776, 3.7144222717060016, 3.2531544769540672, 2.852148807714659, 2.6954669526233777, 4.9314148037205205]",3615.0599508285522
24,0.1,200,[3.98457596],"181.70002686503355, 777.9479942976924, 1420.5962850284243, 2041.7265552659933, 2547.1365134654634, 2994.871472963517",600,"[2.488740863456041, 3.98772264653309, 2.611043473072374, 5.347856880945009, 2.845263806361652, 5.285304937368818, 2.836323616176532, 4.316401196956838, 3.2052507265182464, 2.7508972567483405, 3.406523449077527, 5.203586038788234, 4.6116782797178715, 4.401246195476543, 2.500777453547875, 2.4035943796779025, 3.5186037108883097, 2.9386928565460724, 4.999926721912457, 3.575836993348164, 2.2856685091818534, 4.0282952600640165, 3.2931620674975144, 3.8676600560396586, 4.90616648926468, 3.012966266009547, 4.042088522323262, 4.838670829652338, 2.65785301788187, 5.549227301956946, 2.826280800429126, 3.6677027598915117, 2.57414535620817, 2.692595802420932, 3.7375808711794565, 5.010473185830412, 3.394578628813057, 2.949537642865235, 3.619598315509358, 3.126964548050048]",3614.599838733673
25,0.1,200,[4.85528871],"191.40795549424774, 803.3735747594613, 1622.8841547434283, 2084.5287912824083, 2548.368353585415, 3273.006216632287",600,"[4.175372010909658, 4.8074275495937755, 3.0922108444430765, 2.9992843851074404, 3.5100980724182294, 5.080154416387061, 3.0477219145969476, 3.063392821706754, 2.79639731030229, 3.2043616432453685, 3.4191820387881786, 3.4829126239420924, 3.9754258720158284, 4.928424804298728, 4.140752568247639, 3.5086997838900325, 2.3500914691444894, 3.1390044641790067, 4.924417109753814, 3.8536386350507126, 4.718427273584138, 2.8414566259199345, 4.057649326696624, 6.385969694628436, 4.117971650245434, 3.732159325300657, 3.735214538585757, 5.247956515688091, 4.051434545281498, 4.956127806926282, 2.4908190083266133, 3.2359336074581875, 2.4187360226422947, 4.448297361609757, 4.297822522689817, 2.854366394566546, 3.090584614135722, 3.240194926382806, 3.8950001164858326, 2.418465514012893]",3629.5739212036133
26,0.1,200,[4.26434606],"181.39104686330563, 831.0550856348375, 1389.7567837042072, 2120.691093295884, 2555.213156792585, 3325.1497667546796",600,"[4.226330850426467, 3.0003417415035214, 3.4747504510619063, 4.455501880997461, 3.427128665389235, 3.69921059137347, 3.132030354358577, 2.719410348332914, 3.8357041545704127, 2.931250944471749, 2.4136642802717563, 4.673566556156589, 2.7099015216674722, 3.4936880682115325, 2.663115091327963, 4.259377295295252, 2.454692424750458, 4.850457650671464, 3.2415399603907074, 4.59876836275744, 3.7685141443946555, 4.796386151472234, 3.4030513593138076, 3.2706190428423456, 3.8546143846120877, 4.303204521106497, 3.0249499125328407, 4.407632447458711, 2.839069418198565, 3.6100930186360918, 4.861823099995506, 3.457682401549734, 4.232890098481303, 3.666261515141533, 3.365482978027991, 2.3460716933073855, 3.431958218820785, 3.283908970983355, 2.974791190749296, 5.39413637579725]",3627.361264705658
27,0.1,200,[2.62734121],"199.49175381787927, 838.2039793904361, 1396.9131897946509, 1950.5287278601033, 2479.441446800904, 3091.087703256642",600,"[2.418813865345382, 2.3333377437543317, 3.420206688314785, 3.564197920087966, 4.657212360983007, 4.3445511179741025, 3.7923203528140075, 3.3677349954819356, 3.5279974724178627, 3.331040418551369, 3.3048363603015227, 5.158139163799284, 2.8157652339596613, 4.1517814731261335, 6.152044062524607, 3.4946311874590266, 3.0479851158141225, 3.764948669518772, 3.6464850230065746, 4.010305486668788, 3.5252842192905676, 3.781784884988743, 2.3567419521563906, 5.291413030049206, 3.6684783882614904, 4.232222831642508, 2.2962255796751725, 5.306865393384942, 4.7214439651791755, 4.570834667389755, 5.132974216900537, 2.6998310846506137, 3.036970540928436, 3.2346370177964476, 2.947352043006911, 2.8651907732340005, 3.528173609748909, 3.618042503034653, 2.9966675904473252, 3.347441653549907]",3621.79403591156
28,0.1,200,[3.50659557],"195.98824621651264, 770.1976200702763, 1453.6284968852171, 2090.797473800297, 2554.5434335059576, 3366.0668454039705",600,"[2.901077908895665, 3.478313370046707, 2.899464350555142, 3.6377343286337642, 3.6206784417540714, 2.9256151883091372, 4.114211407758327, 2.5242065095419046, 3.102488250035602, 3.8044334480324267, 3.2994688997467, 6.206925190147571, 3.182593529772771, 3.1535417241229116, 4.487932263990819, 2.4214979593606634, 4.285396863533057, 3.773221835629588, 3.133689394605031, 2.5455911543656673, 2.802633549129416, 3.1066776375110163, 5.176538238971316, 2.7637936155055893, 4.250428217336226, 3.553928750206266, 4.684819755417015, 3.6143084528861564, 3.157391775783775, 4.034947842371154, 3.3056368199625785, 2.670373915296627, 2.605801639602451, 4.387878503531742, 4.2410649435192305, 3.7118393940949583, 4.509562257906752, 3.8734856782687888, 3.388835906558656, 2.921981363937116]",3605.5913515090942
29,0.1,200,[3.59731927],"208.9748645705407, 788.5471350498158, 1496.3490106542363, 1960.1725933674368, 2689.155315639303, 3307.5962267521845",600,"[2.745668817259393, 3.192924502908762, 3.6326185721423454, 3.1467868881018632, 3.667072021011362, 5.282686628917063, 3.220911656099024, 4.414534461552858, 3.1820345676359616, 3.407997716045715, 2.741793916577163, 4.372235046480562, 3.134532683550201, 4.091839708794358, 2.8855483539752687, 3.8135681957194514, 3.5569327974240563, 4.010628453253563, 4.0541763638131005, 2.419959180104004, 2.976474647694069, 4.416839000739757, 6.745486851224557, 2.6105689008539117, 2.8623528285890236, 4.759939667819986, 3.646712990698196, 3.040024423068989, 3.6890994669770745, 3.320350027503591, 2.478374468121217, 2.679117876541752, 3.1834072549543215, 3.5150477832409357, 5.696904220029751, 2.811703484875153, 4.321107839596889, 4.388212680347843, 2.4767439058286578, 3.5531837831333024]",3606.460759162903
