,f1,fbest,freq,grad,nPop,sol,time
0,100,[22.08093924],"82.33757579863858, 506.0278793337945, 724.0570429405236, 863.724506290519, 1494.151996797054, 2501.0752423365866",300,40,10000100101000001000001000000000000100000000100000111001000101111000111011111000001101000010010000000011001011010000010100000110100000010101001011110101011100011110101111111010100001101001110000000110101101010100010011100111100000101000111010001100010101010011010111111110011111000000000101000100001001111010000000101101001101001011111001010010010010101101100110000011100010000110000111100101101111100100101100010101000100100010000000111000101101001100000011010100100000001100000000001001010100001000100110111101101000010010000100011111111001010011000000010101111000101111000011001110001000101100000001000110010111000000000010011111011110010001000011000001000001100100101110010010111111110001011000011100000010111010001110111111111110110100101010101100100111101111010100001010101110100100110000000000,1250.4500074386597
1,100,[11.20613773],"100.49761975467858, 566.17366154018, 920.3768120259946, 992.6692965603702, 1589.7153070268403, 2543.3567436471267",400,40,10010100010000011110000100101101000000011001001110000010101110010010100011100010010110100111000111010110101111010001111101110010101100001110011100010000110100111100000000001101110001100000111010110011001100010010111000011100101010001001101111011110100001011111001110000101110011100011110110011000000101010011001011000011011010000101100001110111101100001001101011100100001011100000111110011101000000110000100110000011001000000101011101110111100010001011101111100001100101000100100101000110011100001001000000000000001001001100101001101010011011100110001001100101001101010100010100000111100011000001000011011000000010100110000000110000100000111100100101101001011001000011110100101001001000001001110011001000110111010000000000000111000001110010001000010100001001001100100110000010100000101011000111010110,1231.1847319602966
2,100,[11.57112004],"102.40817361939582, 608.517639104594, 957.2258909338907, 1017.2607034305333, 1773.5381648724265, 2616.9641657372567",500,40,00111011101010111101101000011101000111001100011011000001011010100000001101001001100101110101000000011100000000110011111110101101000100000001000110101011011001010111011111000111110100110110111110000110011001010111010001110110101100101101101011011101101000000010011001101111111101101011000001110101111110001100111001100011111110001011010001100101100101111000011101001010001001100111111001011001111111111000010110010000001110010011111100100100011000001010100110011110101111001110001001010100001010000010000010000010010101000001010010100011100101110010001010100100101011100010001001000000111000101110010010100110101010000011111011101001010010011000100001000100101011110000110101100011010001101010101001000001001000100010011010010000100100010010001101100011111001001101110001001010011111101010110011001000,1240.1469087600708
3,100,[15.54864978],"111.90615146431071, 700.207774820189, 1061.0141602333288, 1140.4633889249674, 1936.378745673713, 3114.01440750473",600,40,11111110111100111110111011100111110001100101000000011100101101111111110101110010111100111111100111110100010100000111110001011100111101001110110010010001101000010110110010100011111001000100110001100111111110111100111010101101101101011110111101010000111100101000010011010011011111001101111100011100100010010000010111111110101110110011011001110100110100010000110111100100111010110100110111010010101000101011011110111101010001111111010101111010011111001110100110010110101100110110110000010001110101111111101111001110000010100010000101001000111110100011001011111101000000110001111111011101001111010001010000110101110111111110001111001000110010001010101010110111100000101000101111011001101010110000000110100110001100000001100010010001010111011000101111001010010011110001011100110010011000100111001110001100,1230.9080007076263
4,100,[24.47742678],"109.62447603850482, 690.4835910707059, 994.4505959997235, 1019.5720806014281, 1971.9393789615076, 3750.816061576518",700,40,01111111001011101001100101011111100010011101011010111011100101110010001000011010110001001010111001001001011011100110100001101111011101100101100001011100010111111000110101001101001001100011001001001000111011010110011011010100111111011000010001001111001110011010011010100000101101101001111111010100001111110110101011001111010100001011001011000011010000110101111000100010101001010001010111100001111011101001011010000100101010011100100011110110011110110011101001010000111001101100011000101110001101011101101000110010011011101011010010100011010000010111101010111100110000110001110101100100011011110010101101111101100110110111001110111110110110001011010110101110100010110110011001110010010101000000110100001100100010001001101111110011101101000110111100100100010010110010110010101011100110001100001111010001,1237.88835811615
5,100,[28.48564606],"103.99335487062893, 714.0489670151348, 981.8767511170053, 1007.7329799876601, 1997.010878476689, 3901.4963704759903",800,40,11011000111011010111111011100111011010011000000100110110101001011110001011101110111101001000000010010010111110000001011011100100000001111101010110110011000101110011100011111010111110010000010111001101011011110001110100101001001000001001111010001110011000110110010100100111110010111110001111111001010110100010101110111000001101100111111010111001001101100000011110111111001111001000111100110011000100010101111010111011010011111000001011101100011110001110100011011100110010001111011011010001101011100101111100101110011001111111001011000110010001010111001011111000111001001100010111000001011110100100110111100011100111111110001111101011010001100010110111110101100010011101010110110111111101101111001011100111001100000111010010111101001011011001111101011000100000011101110000110001110111010111000010111011,1223.9864530563354
6,200,[22.16704867],"93.80291799026995, 534.1613104002905, 805.3883319781298, 869.7597033570769, 1489.0025626497927, 2466.8646526283837",300,40,10011000111100010000000101101010010010011010100001100000001000110001110011010101001010000011101101000111100010111101000100001111110100110111010000111010010111110010000000101001010101101111000010000001110101001110100011011011000110010010111100111110111010000000100110011110001010100100000010111000110011010010101010100110000000011111100100101111100000000000101010100100011000101000010010001110100000100101001111100011100000111101000000011101100001000000100001111011111100001110001110000010011100010000000001000100100100100000110100101100010110000001000000000000001000000010111100110100110100001001110110110000110000001000100010001010100011110001000010010100010101001100100010011001001011000100111111111101001011010001000001101111110110100000100010001001100110000011000000110101011000100011001000010011,1236.5956556797028
7,200,[15.35731887],"116.91304812300224, 607.1182211300152, 1007.6159654848082, 1062.527030077812, 1716.8038621078615, 2638.35551642186",400,40,10010111101101001011100000101001110101111111001100011010000011100100001110010110110100101100111001111111111001110011011100101101000011011111111100010101011000111010001100110111000100001111111001010011011001110010111101111110111010111110111110111010001011111100111100110111000111101101100111010111110001011111110010000110001111111111011101111100100110111011000000101100101011111010000000100100011101000111110100011010000111100011110001111101100110010000110010111110110001001000111100000101100111010000100000001001001101100000101100101001000000100000110100100001001000000000100000011010100111001010101000010110110000111001011001010101000111101111110000011000001010000011010001010110100000000000101010011000101110010110011011110001100001000010111010100000010101001010110100100000100101011111001000001111,1258.1596865653992
8,200,[16.07201604],"128.90496191451766, 712.7357471790475, 1124.2447654270486, 1157.3698874635575, 2018.8144250099745, 3040.1222989893467",500,40,11101111010001111101110111011010111110010100110111111011011111001101110111110110010001001001010011101001011101111110011111100000100111111010100111100111101110110100001010001101011111111110111111111011000010011001111100110001110110111010010010110111110110010101111001110111111111010011101001001011101101110001010011111011110011111100011011000111111101111101101000101001010100011111111111011111110110110010000101001000100111010010111111010111101001111010001001000100101011100111100010101101000011000111110010100011001110010100011011011001110100001001010110010110100110001111010001001101000111101101111101000011001111000110001010100010011000101010101100010111000110100011010001100100000011101100011100001100100001001100100011010010001010000010111010111110101101110000100001000001011010100000000001101000,1295.601378917694
9,200,[19.05272461],"133.12673117874652, 778.4806628407388, 1171.954798310363, 1213.1281082324458, 2102.823505577127, 3309.922741255412",600,40,10111100001110011110011111010111101111101011111110111110110101110000111011011011111110011010011011001010110100111010010010111011111110111011101101011110101000111101010111111111001000101111011011110111101110101101010111011111110001100101111010001111100011111110101010011111001111100011111010011011111100010110011111100111110000111101010011111011011011111111101101100100011101101001111010000101011111010111101011111111011001010101101011001110110000111101111010111000111001011001011011101101010011011101100111111111111011001001101101010001000101110000011110010101110110001101011101011111010101000110000110111110100110111111111101111001010100000011111111110011001111100001000101000010101011010101000010011001011000100001000111010001110111010010110010101000101100111001001110100011010011110011000011010001,1291.7098801136017
