,errorLimit,f1,fbest,freq,grad,nPop,sol,time
14,10,200,[9.04623198],"175.38665313077843, 844.510681898495, 1382.2531215598422, 1574.0606520739261, 2371.7061142964303, 3361.975923202217",600,40,1111110111111011111110001111100011001001,337.83912229537964
15,15,200,[13.81170666],"154.44453408918707, 806.6307902529907, 1312.2741518012851, 1393.0512236995382, 2094.0018947232998, 3302.035898182911",600,40,1001111110111110100011111011001010010100,258.2696237564087
16,1,200,[4.5644351],"201.84555456344012, 814.169863438478, 1389.7951497964177, 1674.3024369112152, 2428.372749222759, 3165.511799518288",600,80,1111111111111111111101011000100010001000,3616.0517675876617
17,5,200,[4.88251111],"199.35590871198326, 809.8060938548967, 1449.496949026522, 1803.8189024180526, 2262.187513881935, 3154.882555987697",600,80,1111111111011111101111010001110001000000,1858.5697166919708
18,10,200,[8.23204321],"193.53084018538053, 832.05041325468, 1499.488835260972, 1571.4603178428995, 2296.16129901657, 3261.822219453841",600,80,1111101111111111101101100010010001001000,749.8758842945099
19,15,200,[11.00183542],"180.9831049441681, 864.9512559332086, 1448.6525619862323, 1460.9172847650023, 2238.967845683959, 3330.1915882335434",600,80,1111111111101111101101110011100101001110,308.3524000644684
20,1,200,[5.13817222],"197.86768278933118, 844.8152165714138, 1434.0012284373406, 1796.9269717540187, 2306.166109153398, 3208.8754739026203",600,100,1111101111111111110110010001101001000000,3625.874401330948
21,5,200,[4.90399921],"198.62230828312116, 806.454131339886, 1401.4322519310972, 1688.9774219416338, 2320.910211314453, 3150.6967124330818",600,100,1111111111111111111111010010010010011000,2290.39359664917
22,10,200,[9.96343157],"177.91700376857813, 885.9971423927924, 1396.992610293427, 1611.999959181631, 2139.882452001478, 3178.3102665365614",600,100,1101110110111010111010011101001001000000,1043.232117176056
23,15,200,[12.22066969],"173.86073162377178, 870.5951415951378, 1341.3769898051353, 1390.5421206706956, 2382.117816313953, 3468.4689731462363",600,100,1101011101111111110111000100101110100000,269.9829218387604
24,1,200,[4.72058988],"198.51840795169818, 822.8219743600879, 1422.0067994128037, 1728.3669915058679, 2352.794580881567, 3197.8070053729143",600,40,1111111111111111111110011000010011000001,3609.3731966018677
