,errorLimit,f1,fbest,freq,grad,nPop,sol,time
10,10,200,[18.34739286],"134.7670454072325, 762.7474702971571, 1162.697610819707, 1295.7545713136985, 2084.831343399663, 3226.710158016026",600,100,01111010100111111101111100101100101011011111111100110011111011011100110000101110011110100110111111100011110001101110111101101101000101111110101011000010110111111111100010111010011100100111011110100111110111110111111011111101001111111001011111100001101100110010110111111111111110010010010101010110110011100111110111011101001110000001011111100110111100111101011110101101100001111110101011101100001111000110111000000010001101100111100111101011101110100100010100011101011010011111001101111000101100101101100100111101101111011001101010101101101111110110101110010100010101011011001011000001100110001101100101101001101101001111010100101100001011000010001011110110000101010111011110001001001000010010011100011011001100111100100001100011110000000100100001110001010000111001011001110111010000100010010010110010,3902.406035423279
11,15,200,[17.94973695],"135.629280162564, 797.4437737102876, 1157.2410806848072, 1243.2920930627674, 2144.5081794911157, 3279.9775735191133",600,100,10110111000101001111100111111010000110111110100111111011101111101111111110011001111111110111111000101111111111111001100001110100111101101000001110000011100011110011011011101110110001100101110011101111011101100001100111111010011110001111101011101101110001011010110011011101001110101111101101111101110011001111100100001100110001101111111111111101101010111111100100101101100100100010101011011000011110110010011010001110011100111110100101011011000011111111111011100110111110101110111000011111110101111001010100100001011000110100110001110011100110101110110110001111010011101011101111101111011100110011110011010000011111110010110100110010011011000010100111000100011011010010111001001111010001100100001101011010100001100010101001100000001010011010111110001000101010000110000110100000011000010000000001000010,3810.6993317604065
12,1,200,[15.20955346],"141.69711259822026, 803.5083538158339, 1206.014368589753, 1362.8294754220076, 2185.412385327011, 3199.775596309658",600,40,11011000111111100111110101111011111100111100111010001110111101011110111001110111111101011110010101101101011011111100111111001111110001011111100100110111101010111100111001101000101100111011010101100110001111110011000111101010110110100111111111001011000111101111100111111011110110101101111011111011111101110101111111101101110110111011011011010111111100110101111100101101111001011111001011110110111001111101000011101110011111110011010010110001100111010011000101001001011011100111011111110011100111010100110101011011101101000110110110110011001111101111001000010000100011110001100001110010110101100010010011000111100110001100011101011110001111000110010110111101010011000100101100010000001100101011000010000011100010011000010101001010100110011101111010111000010010010001010101001001100001100001000000000000,3690.5890424251556
13,5,200,[14.12713727],"147.87863359125137, 803.5551665135915, 1215.1616963068748, 1482.546448534039, 2168.9257023467885, 3283.281612825404",600,40,11100111111110111111111101011001101111111011110110011110011111110100001100101111110101101101110011111011111010011011111111110110000111101101110110100101111111111101010110011101110011101111011111100111111111001001111101101111110011101011011111110011011010100111111010100111011110110101111010101010011101111011110000110011011110000111001001111001110110011111111111010001010111101001111101101110111001101001110110100111111011000011011001010011100110001001011101001010111011000111111110011011001111011010011011110101100000100011111110010110111010100001110001110011101011110101000111111011000101111001110001101110011011011010100001001010001011010001010000110110110110001101101100010010010001010010011110001011101100100101100110110100010000000000011001100001010100101001101001000000010100101100110000000000,3708.390736579895
14,10,200,[15.92478131],"142.47774159906115, 806.0570178805904, 1147.5345113674234, 1403.8690265512864, 2135.5616412495024, 3210.4838320145636",600,40,01111101101110111100111111111001111101101111110110111111111110111101111101100111111101000111101110011111111101100110011111111001110000010111111011111101011101111110100101010001100101111100111100011101111110011001101111101100101110100111111111101100011010110010101101100101111110101010110100010100101111011000100011101011101010001111110011011111011010011000010110101011111011100101110010001111100110101011110011011000101011101011111110101011101001111100001010101010001011011111111010100011110100101101110101111001001111111010110001101101111110010011010110000110111000111101001010101110100011011010000011001001011111000001110010111000110000101101101110101001011011010000010001010011110101011100000100110001011000100110101100110011001000000000010000000011000001110010110100010001101100110000110000000010,3714.7710773944855
15,15,200,[16.94701489],"138.38078875702462, 800.8189009048315, 1151.1508812015943, 1285.7590922261263, 2195.1396123530462, 3254.770729484858",600,40,10011111111100111101011100111110101101111011111111101110110110010111000111001111100101111110111010011111011110111000110101001110111111011101111011101101011000110101101001011001101100011111001111001101100011001011100111010010111111001101011101110110000111101110011110010111000011111011110010001111111111111110101100010111111101111101111111100101001000111110101111100101100011111100110000010001110111100011001011101110110011111000110100001111111011000001101111011100011100110101100011111110110101011101011110000110010110000110001011011100101111101011100011100111011111110001001011000011011111111010010001111101100001011101111001100010000111101111011000000001100011110011110110111000010110000100110110110001110000001010100000000100010011000011010111011001110010111000000100110010100001000111100000101011,3698.6854317188263
16,1,200,[18.761912],"132.84007263125454, 784.8018842087429, 1118.3504270438586, 1264.4040388851943, 2106.095624014794, 3238.3295029067435",600,80,10111001011110101111011010001111101001111110001111111000111111101011110011011100111010100011010111111001000101111001100011111101001110011011100111110001100100101111001111011101001111110110111001001011100011101110011110111011000101000110001111010001101111100011110110111111111111100001111111000000011100111011011100001100110101010010000111101101010111110110111010101100101001101110010111011101101110111101100110001111110011001111111101101101101101010011011001001010111011000101110010010011011011101100010111100101100011101100101111011111000100111111101001111000111011101101000111010111100110011001001011001010110101111010100000101001010100101010010110111000100001101101100111101011001111010001010100100000001000110111101101101000011001000110000000101000001000100011100001001101000000101000000001111010,3833.3153443336487
17,5,200,[19.18249923],"130.00414460227125, 786.8584009946031, 1154.8517803551247, 1264.5343493551245, 2072.274979253165, 3323.9482240279403",600,80,10111000011100000011101111011011101010110111110011010011111110011110000100111111010110101001011011100111110110001111011101111010110110010111111111011110011000111100110110111010100100111011010011000101000111110001111111010100011110000000110110010011111000111011001111011001111001111011111011010100111100110101101001000001011111110011000100110100111101101111011101010110101101010101111111110011101011110010101101111111000111011010111100001101101111111101111110111111101111110100101000011111101001111101111111111011011011111110101011111100011111110011011101000110000011100011010110001010011010010100001100101111110111000011001110001100110011100011011011010011100111011010110111000000000000001010000011001110110011010011110000100101111000000011101001010100111000000111000101110110011000010101001100001111,3778.6486184597015
18,10,200,[19.91826831],"129.7717336459114, 769.872946609142, 1119.770227899976, 1223.201154420892, 2060.0195943302756, 3232.152424542958",600,80,11100011011100010111111111110110111110101111001001011111110111010110000011110100111111011010001111000011000100110101111001111110010111101111001111011000110111010011101111010111001011011111011001111011000101110100110111001001001111000101011110101000111011101111110110000011011011010111100010011111001011110011010101111111011011001100110010111110110000010101111101111011110001100011101001000111011111111010010011101011100101110101001010111111101111001111000111001011100010011110110111101000011110110111011000000101011011011110001010110010110111111111100001011000100111000011011101101011000110010010010100110111011101001110001111001011000100111001010011000000011101101001111101101111010001001110101001000000010000001100111010111111001100110001010110011010010100100010100011100011110100110101111010101111,3828.199301481247
19,15,200,[17.87155702],"137.46799417881493, 787.9618020660962, 1150.683744662191, 1285.1145222444893, 2109.5391842960917, 3265.347490257041",600,80,10100110110111101100111101111101011110011101100111111101111011001000110000110010110010111100101110011100101111011111011111110011000111001111111100110111001110101011001111111010111001011110011100001111111111000011010111101100111001111110111011011001111110110110111000011101111111001011110101011000110011101100110000011111011110010100001111001101101011101000011111011101000110011110010111010110101110101101000011110010111111101100010111111011110111010001100110010101110111011111011001001110010111110000111100101110111101001111111011001101111101110110110111111100010101101110100101011111111011001001010000100010000000101101001100100101010111001011100011000111000110001011000001100101001110101001011011100000100001110011000100000110110110001010010011000010111101010001100101010001001100000110010111001100,3873.489244222641
