,f1,fbest,freq,grad,nPop,sol,time
48,1000,[38.0201042],"189.58006119056466, 1142.1177618759687, 1701.9669748228148, 1751.3965611760693, 3064.9924066071508, 4976.1220190280765",800,40,1111111111111111111111111111111101110100,1178.3366463184357
49,1500,[32.52381585],"171.50464592809604, 718.7166562851411, 1388.0918050048238, 1661.2315145474263, 1705.1652930693426, 2427.539692962976",50,40,1001111110110101111111111111000000000000,1288.164591550827
50,1500,[30.19325351],"184.6621247038904, 743.5956716026726, 1400.7124277628534, 1804.5005415498179, 1935.1480610113845, 2404.7995906502238",100,40,1111100111011101111111111111000000000000,1234.7717702388763
51,1500,[28.42624904],"217.3746579496011, 966.000101504577, 1666.371255370292, 1958.9348749057344, 2096.4210263036825, 2850.1944278689107",200,40,1111111111111111111111111111001000000000,1267.390370607376
52,1500,[30.85735328],"211.44451482989734, 1102.7187799159578, 1814.4563972046287, 1914.5182008191161, 2662.7311673472263, 3758.8957578795125",300,40,1111111111111111111111110111011000100000,1128.1075048446655
53,1500,[33.26180771],"211.44451482989734, 1102.7187799159578, 1814.4563972046287, 1914.5182008191161, 2662.7311673472263, 3758.8957578795125",400,40,1111111111111111111111110111011000100000,1169.196031332016
54,1500,[40.63173396],"194.55349181956703, 1109.7434916417378, 1711.0688642752707, 1779.7942268560662, 2918.262883912986, 4578.250384790045",600,40,1111111111111111111111111110111110100010,1170.936488866806
55,1500,[47.53473928],"182.85753241889802, 1033.7692449930885, 1641.872816611828, 1658.2562716751593, 2964.321806051378, 5549.452386165062",800,40,1111111111111111111110101111111101110110,1221.0752956867218
56,2000,[34.26612693],"206.49058200026278, 959.2231582323423, 1622.039531484904, 1915.1022443714512, 2092.6962649288753, 2793.368754607929",50,40,1111110111111111111111111111010000000000,1149.1171741485596
57,2000,[35.42042793],"216.8575896199039, 924.4537851509198, 1618.7935537949556, 1969.4239351850313, 2072.8530665804183, 2824.1146616039105",100,40,1111111111111111111111111111100000000000,1409.352507352829
58,2000,[36.94738416],"211.39760932884906, 1093.0341581393711, 1705.6079157662605, 1914.7794880758809, 2553.1647677745486, 3535.031209409351",200,40,1111111111111111111111110111010100010000,1186.2463495731354
59,2000,[38.39055431],"214.5689615045943, 1056.5664851726856, 1781.7628674597056, 1915.2973268205467, 2539.6182267150307, 3533.1307640075756",300,40,1111111111111111111111110111001000100000,1239.0318911075592
60,2000,[40.90871198],"206.43653858779462, 1103.962978705847, 1769.49736903178, 1870.9846522895352, 2761.1566273983526, 4005.4382586544716",400,40,1111111111111111111111110111011010100000,1291.2305700778961
61,2000,[48.54397836],"188.92804590097631, 1082.633879722281, 1603.1248516750984, 1757.201033579104, 2836.1111660394545, 5157.344653248292",600,40,1111111111011111110111111110111010100001,1212.6195757389069
62,2000,[56.21927327],"176.21198020102847, 1031.2785924806817, 1487.501383992305, 1602.9834302828922, 2739.5919669316777, 5196.419859737337",800,40,1111111111011011101011101110011011111000,1103.2084965705872
