,f1,fbest,freq,grad,nPop,sol,time
56,200,[7.5795814],"188.97563609645007, 901.8572112476452, 1358.9480953541074, 1685.557548412912, 2475.3644129956847, 3321.122468030949",600,40,1111111110111111110101011010110010010001,608.7743020057678
57,200,[4.99563315],"199.87389743084168, 824.6525489689265, 1427.2281972307198, 1660.465893421516, 2442.7437472944625, 3259.4971201384283",600,40,1111111111111111111111000011000100010001,904.3783810138702
58,200,[6.35102905],"188.03447623492468, 828.559319163226, 1413.8000642249522, 1664.2592759392971, 2326.8360147907456, 3208.7819307333248",600,40,1111111111011011101111100001010100100001,1203.8235125541687
59,200,[5.46437224],"195.40468105139814, 835.1372620219009, 1413.819503453183, 1686.034614947768, 2387.1750665936534, 3160.785114266243",600,40,1111111110111111101110010100010001000001,1500.5015556812286
60,200,[8.84173402],"183.20061345272023, 875.5150886347606, 1469.8259291943461, 1711.6246561425635, 2338.720559937751, 3384.185023823744",600,25,1111110111111101111110010101101001001010,301.15030121803284
61,200,[6.7328421],"187.79460516691285, 818.226227387888, 1429.6777006800055, 1620.254384065724, 2333.852991252327, 3178.478821997832",600,25,1111101111011101111111000010010100100000,601.7563102245331
62,200,[6.82882544],"200.88783806192004, 832.5276261344363, 1432.5119039948786, 1665.6771910270388, 2168.869059770593, 3226.966456622499",600,25,1111111111111111101100111010100000100010,904.2538449764252
63,200,[5.36498872],"203.05158295759952, 817.6023492891753, 1369.864818283979, 1718.9080159803052, 2289.8436450200998, 3210.484621001338",600,25,1111111111111111110110100001100101000000,1200.2321286201477
64,200,[5.62158627],"189.18094088735225, 798.6243753743638, 1400.1006073746828, 1687.0896921555488, 2309.2230506882433, 3241.971345662408",600,25,1111101111111101101110000101001000100000,1130.0003080368042
65,200,[12.0990399],"161.29260089320397, 865.4327175309089, 1273.060184375482, 1594.220991733706, 2219.037163961233, 3166.30549435745",600,40,1101100111111001101110010011111010000001,319.97591757774353
66,200,[6.7526365],"197.6246865898454, 877.6112976471077, 1413.4677643749628, 1717.2184088166082, 2322.1006178784305, 3322.791986302969",600,40,1111111110111111101110100100101110000000,605.0801730155945
67,200,[5.1565399],"199.90133289281465, 814.3036332205947, 1370.2026088811729, 1683.6501872239464, 2311.518856889831, 3198.0592839191695",600,40,1111111111111111111101010010110010000001,907.7349708080292
68,200,[4.69851406],"200.86381615027204, 822.8078132939646, 1409.9725851743892, 1699.048157181004, 2399.383627357687, 3154.1674997332952",600,40,1111111111111111110101111000100010001000,1203.184963464737
69,200,[4.83265838],"197.45202521839937, 864.7393513415524, 1399.7146567595162, 1740.0781936020169, 2469.9298640172638, 3251.5319817500454",600,40,1111111110111111111110110100100110010000,1502.1765468120575
70,200,[7.18806113],"183.61797591177336, 820.2563828733025, 1375.9753468287183, 1587.0146143531654, 2416.249335652227, 3295.1250466832303",600,25,1111111111011111101110010010001010100101,302.6564710140228
71,200,[8.98821156],"190.6041086890939, 888.3720416333907, 1413.090304567759, 1551.2005318766976, 2287.1545483101886, 3111.126208643697",600,25,1111111110101110111110110010110010000000,604.5235543251038
72,200,[5.35249502],"202.33063136206192, 819.910752229726, 1464.4179201839474, 1755.82168422758, 2388.375928860565, 3312.359272720093",600,25,1111111111111111111100011110100010000000,903.4719190597534
73,200,[4.19579131],"200.492845655619, 802.762765866217, 1428.772582112829, 1758.218447802788, 2343.314279334555, 3218.118065570882",600,25,1111111111111111111110110001010011010000,1205.1279513835907
74,200,[5.72362702],"196.64512637740592, 827.1775583546644, 1397.9696750704443, 1703.1839653421162, 2233.4474640301305, 3205.860195494564",600,25,1111111111111101101100011110010010000000,1250.1842834949493
75,200,[13.72675175],"154.8641224239932, 923.9260420533379, 1403.9642012287609, 1414.6049113784254, 2274.134791320342, 3129.09991904576",600,40,1001101011111011110111110110010100010000,314.2971160411835
76,200,[6.88450501],"186.20264532067853, 896.2343974483623, 1430.871272479623, 1725.5251280875898, 2496.7794073596497, 3279.3662645312565",600,40,1101110111111111111101011010110010010000,606.6077871322632
77,200,[5.8959302],"193.5321490315692, 872.5278390545287, 1419.2786056379803, 1729.3281331634298, 2395.870324416996, 3210.044730793026",600,40,1111111111111101110111110001100111001000,905.8980095386505
78,200,[4.98368159],"199.860653562299, 833.5414041356058, 1413.764768353134, 1716.475546805269, 2388.369035173561, 3274.9013734890077",600,40,1111111111111111110101111000100100110000,1206.623625278473
79,200,[5.47940942],"188.87346999271813, 803.8369308022411, 1400.4234177676421, 1680.7425123017988, 2326.256254846572, 3209.9792352568197",600,40,1111101111111111101110010100101001001000,1502.207105398178
