,f1,fbest,freq,grad,nPop,sol,time
16,200,[5.15731393],"199.91824849505866, 891.272086485188, 1398.1656220623897, 1746.420033998009, 2449.8640311070367, 3229.1043635052188",600,55,1111111111111111111110011100100010010001,2052.364251613617
17,200,[4.99563315],"199.87389743084168, 824.6525489689265, 1427.2281972307198, 1660.465893421516, 2442.7437472944625, 3259.4971201384283",600,60,1111111111111111111111000011000100010001,2243.618515729904
18,200,[5.54764146],"192.7180386350575, 822.2873789714992, 1415.9688905476187, 1680.939929447635, 2395.7783420577866, 3138.8599046510235",600,20,1111110111111111110110010010001000101000,579.3091802597046
19,200,[5.66298905],"195.4906068054833, 838.8555656557005, 1471.1557564787684, 1763.6378562966577, 2346.937559301405, 3192.561280540127",600,25,1111111111011111111111010001101000101000,682.4983868598938
20,200,[6.49753436],"189.7855796730379, 839.1517386249706, 1421.6800703119695, 1654.783623966412, 2352.9124661376823, 3178.519465239597",600,30,1111110111111111101111010100001010100001,864.38680768013
21,200,[5.34901152],"200.33011667524707, 827.9534763791085, 1409.9018009108206, 1700.0161898814229, 2298.5043151718164, 3236.236043315518",600,35,1111111111111111111100110001101010001000,1071.8736083507538
22,200,[5.35726127],"191.55743758790953, 806.11625172188, 1408.4886057340311, 1676.8232774902115, 2333.34173898781, 3204.368092669849",600,40,1111110111011111101110100001101000100000,1339.9108686447144
23,200,[5.65022696],"189.6743014974566, 845.0106846716668, 1445.7987535797756, 1709.144770759544, 2482.182451792888, 3175.467784340988",600,45,1111101111011111111110010010001010100000,1392.0512475967407
24,200,[4.79000971],"199.32928772359085, 775.3293125598185, 1382.6291985594175, 1765.5427348827725, 2297.0673648632014, 3177.4087614653445",600,50,1111111111111111111110110001100011010000,1330.5291166305542
25,200,[4.79965032],"199.6892912814881, 797.6619650548192, 1430.9903182367984, 1704.3272629719747, 2320.4010197324174, 3219.1761679852243",600,55,1111111111111111110110010010010001001000,1608.0802109241486
26,200,[5.69159847],"196.85735879972367, 832.6112928038798, 1493.04557617047, 1703.0196182836153, 2438.9351319270104, 3225.9815778957577",600,60,1111111111011111111110010010001000100001,1602.439570426941
27,200,[6.02846554],"196.04465308534765, 875.4025363939427, 1429.4748210602786, 1744.7701355363522, 2379.6575444676296, 3154.359830068203",600,20,1111111111011111111110011000101000101000,630.0485730171204
