,cluster,f1,fbest,freq,grad,sol
11,20,50,[20.353819004588846],"51.06535394979813, 250.52413722996414, 507.25679099448394, 685.7469197053013, 766.5932068914981, 1165.628572585249",200,"[5.760288431629025, 12.271436395688738, 8.577372222790084, 13.613104297479586, 9.302471436514306, 7.807414866120318, 11.172051495971138, 12.45704690842361, 8.187609161910805, 6.570007316780998, 6.7683276952298295, 8.577372222790084, 8.978809829276214, 10.605728156689477, 7.807414866120318, 8.978809829276214, 10.070108387656198, 8.577372222790084, 9.302471436514306, 6.7683276952298295, 8.577372222790084, 11.45738020205544, 8.978809829276214, 11.172051495971138, 7.159128001655295, 10.070108387656198, 11.45738020205544, 11.45738020205544, 8.187609161910805, 10.353311125148021, 8.187609161910805, 9.302471436514306, 9.633024467470324, 12.049227233748812, 8.978809829276214, 12.271436395688738, 9.633024467470324, 7.159128001655295, 11.172051495971138, 7.545835604283596]"
12,0,50,[36.61007141],"56.378557856552135, 321.65347874597035, 869.4870662892831, 1027.3167411424997, 1592.0705780337087, 2160.6542365547816",400,"[3.193582943034372, 2.8946751719582027, 2.955767679614324, 3.5956371262294975, 2.8912452259189982, 2.13811972339959, 2.411231534287624, 2.844488489518837, 3.224168935238728, 3.79900013965386, 3.5616873758297807, 3.002567910387483, 3.6127082545533726, 3.541873557392122, 2.90759173636087, 2.687673448322844, 3.471142118570656, 3.0202888362846316, 2.6138847931984674, 3.107608458524635, 3.6367792960691863, 3.2796106747704337, 3.439701094665212, 3.389289683053944, 3.517813829735658, 3.7639564619636348, 4.035853672342931, 2.5333103152805823, 3.623769853027752, 3.0178373528915445, 2.6906265466947157, 3.4283478813860073, 2.7055802244724965, 3.2808668745900462, 3.2871344653732026, 2.6991852122319666, 3.193655512957154, 3.477029200527932, 3.138331308465421, 2.8014791610620153]"
13,10,50,[36.3566981708498],"56.98678254194387, 326.44995067302284, 879.9765894174034, 1017.5512507242751, 1604.4791789883009, 2103.789962924371",400,"[9.684578877612582, 8.603687870891353, 9.06244214262157, 10.786227731550856, 8.603687870891353, 6.41435917019877, 7.416812774352309, 8.603687870891353, 9.684578877612582, 11.344434902426244, 10.786227731550856, 9.06244214262157, 10.786227731550856, 10.786227731550856, 8.603687870891353, 8.038170134952294, 10.361661903969704, 9.06244214262157, 8.038170134952294, 9.06244214262157, 10.786227731550856, 9.684578877612582, 10.361661903969704, 10.361661903969704, 10.361661903969704, 11.344434902426244, 12.107561017028793, 7.416812774352309, 10.786227731550856, 9.06244214262157, 8.038170134952294, 10.361661903969704, 8.038170134952294, 9.684578877612582, 9.684578877612582, 8.038170134952294, 9.684578877612582, 10.361661903969704, 9.684578877612582, 8.603687870891353]"
14,11,50,[36.30973844157291],"56.34664927007899, 322.90384701079586, 842.9549572619452, 1022.0649900565221, 1598.3055423851754, 2133.4386196231335",400,"[9.474883667236186, 8.603687870891353, 8.997346334383488, 10.786227731550856, 8.603687870891353, 6.41435917019877, 7.416812774352309, 8.603687870891353, 9.803835712479309, 11.344434902426244, 10.786227731550856, 8.997346334383488, 10.786227731550856, 10.786227731550856, 8.603687870891353, 8.038170134952294, 10.361661903969704, 8.997346334383488, 8.038170134952294, 9.474883667236186, 10.786227731550856, 9.803835712479309, 10.361661903969704, 10.361661903969704, 10.361661903969704, 11.344434902426244, 12.107561017028793, 7.416812774352309, 10.786227731550856, 8.997346334383488, 8.038170134952294, 10.361661903969704, 8.038170134952294, 9.803835712479309, 9.803835712479309, 8.038170134952294, 9.474883667236186, 10.361661903969704, 9.474883667236186, 8.603687870891353]"
15,12,50,[36.46327138851121],"55.97226152054366, 321.9003054907523, 841.1345518158377, 1018.1014947124391, 1574.1321003762932, 2115.3081054082368",400,"[9.474883667236186, 8.603687870891353, 8.997346334383488, 10.786227731550856, 8.603687870891353, 6.41435917019877, 7.2336946028628715, 8.603687870891353, 9.803835712479309, 11.344434902426244, 10.786227731550856, 8.997346334383488, 10.786227731550856, 10.786227731550856, 8.603687870891353, 8.087299073791517, 10.361661903969704, 8.997346334383488, 7.720792662718575, 9.474883667236186, 10.786227731550856, 9.803835712479309, 10.361661903969704, 10.361661903969704, 10.361661903969704, 11.344434902426244, 12.107561017028793, 7.720792662718575, 10.786227731550856, 8.997346334383488, 8.087299073791517, 10.361661903969704, 8.087299073791517, 9.803835712479309, 9.803835712479309, 8.087299073791517, 9.474883667236186, 10.361661903969704, 9.474883667236186, 8.603687870891353]"
16,13,50,[37.31715723654319],"55.93176619583659, 320.84397052687837, 837.2577188924083, 1003.401549824974, 1566.4953320866243, 2118.024630439691",400,"[9.474883667236186, 8.603687870891353, 8.997346334383488, 10.818349143425753, 8.603687870891353, 6.41435917019877, 7.2336946028628715, 8.603687870891353, 9.803835712479309, 11.344434902426244, 10.818349143425753, 8.997346334383488, 10.818349143425753, 10.536716587655713, 8.603687870891353, 8.087299073791517, 10.296360583256865, 8.997346334383488, 7.720792662718575, 9.474883667236186, 10.818349143425753, 9.803835712479309, 10.296360583256865, 10.296360583256865, 10.536716587655713, 11.344434902426244, 12.107561017028793, 7.720792662718575, 10.818349143425753, 8.997346334383488, 8.087299073791517, 10.296360583256865, 8.087299073791517, 9.803835712479309, 9.803835712479309, 8.087299073791517, 9.474883667236186, 10.536716587655713, 9.474883667236186, 8.603687870891353]"
17,14,50,[36.72213000981246],"56.24818053453134, 322.57974440507877, 860.0397962113275, 1020.2882071782896, 1575.569228347108, 2164.370886823001",400,"[9.611407391230253, 8.603687870891353, 8.997346334383488, 10.851670897409857, 8.603687870891353, 6.41435917019877, 7.2336946028628715, 8.603687870891353, 9.611407391230253, 11.344434902426244, 10.62137476295756, 8.997346334383488, 10.851670897409857, 10.62137476295756, 8.603687870891353, 8.087299073791517, 10.32330598692225, 8.997346334383488, 7.720792662718575, 9.368909650485085, 10.851670897409857, 9.847612014733683, 10.32330598692225, 10.32330598692225, 10.62137476295756, 11.344434902426244, 12.107561017028793, 7.720792662718575, 10.851670897409857, 8.997346334383488, 8.087299073791517, 10.32330598692225, 8.087299073791517, 9.847612014733683, 9.847612014733683, 8.087299073791517, 9.611407391230253, 10.32330598692225, 9.368909650485085, 8.603687870891353]"
18,15,50,[39.010056143558934],"55.49730811707375, 312.364880503473, 853.8575925104984, 993.886366280535, 1565.4317098596102, 2139.702518432919",400,"[9.611407391230253, 8.693512134238071, 8.997346334383488, 10.851670897409857, 8.693512134238071, 6.41435917019877, 7.2336946028628715, 8.468951475871279, 9.611407391230253, 11.344434902426244, 10.62137476295756, 8.997346334383488, 10.851670897409857, 10.62137476295756, 8.693512134238071, 8.087299073791517, 10.32330598692225, 8.997346334383488, 7.720792662718575, 9.368909650485085, 10.851670897409857, 9.847612014733683, 10.32330598692225, 10.32330598692225, 10.62137476295756, 11.344434902426244, 12.107561017028793, 7.720792662718575, 10.851670897409857, 8.997346334383488, 8.087299073791517, 10.32330598692225, 8.087299073791517, 9.847612014733683, 9.847612014733683, 8.087299073791517, 9.611407391230253, 10.32330598692225, 9.368909650485085, 8.468951475871279]"
19,16,50,[37.97206480102575],"56.97529120754208, 318.19698551815264, 869.2641744124236, 1015.5921222708442, 1598.349916781763, 2147.8524182533647",400,"[9.611407391230253, 8.736959860389296, 8.736959860389296, 10.851670897409857, 8.736959860389296, 6.41435917019877, 7.2336946028628715, 8.468951475871279, 9.611407391230253, 11.344434902426244, 10.62137476295756, 9.040694099563659, 10.851670897409857, 10.62137476295756, 8.736959860389296, 8.087299073791517, 10.3878724137638, 9.040694099563659, 7.720792662718575, 9.368909650485085, 10.851670897409857, 9.847612014733683, 10.3878724137638, 10.226456346659926, 10.62137476295756, 11.344434902426244, 12.107561017028793, 7.720792662718575, 10.851670897409857, 9.040694099563659, 8.087299073791517, 10.226456346659926, 8.087299073791517, 9.847612014733683, 9.847612014733683, 8.087299073791517, 9.611407391230253, 10.3878724137638, 9.368909650485085, 8.468951475871279]"
20,17,50,[38.008251847768214],"55.538599116301405, 313.04074051121347, 857.041166932766, 1014.5617689339084, 1574.4079665962863, 2139.769403401209",400,"[9.611407391230253, 8.693512134238071, 8.997346334383488, 10.851670897409857, 8.693512134238071, 6.41435917019877, 7.2336946028628715, 8.468951475871279, 9.611407391230253, 11.344434902426244, 10.62137476295756, 8.997346334383488, 10.851670897409857, 10.62137476295756, 8.693512134238071, 8.087299073791517, 10.422256978647882, 8.997346334383488, 7.841654379595402, 9.368909650485085, 10.851670897409857, 9.847612014733683, 10.257338659105162, 10.257338659105162, 10.62137476295756, 11.344434902426244, 12.107561017028793, 7.599930945841747, 10.851670897409857, 8.997346334383488, 8.087299073791517, 10.257338659105162, 8.087299073791517, 9.847612014733683, 9.847612014733683, 8.087299073791517, 9.611407391230253, 10.422256978647882, 9.368909650485085, 8.468951475871279]"
