,fbest,first,freq,sol,time
11,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1169.2612845897675
12,[153.47226511],100,"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",0000000000000000000000000000000011111111,1284.6828410625458
13,[153.22906896],100,"46.34830231885921, 321.5850768698506, 431.29794431052835, 449.88457572818476, 952.5687269016851, 1533.7243368941567",0000000000000000000000000000000000011111,1095.188470363617
14,[152.78501992],100,"49.05985391277912, 320.82261412401203, 455.0891649126866, 481.96910100127064, 953.9946960707802, 1447.452215286745",0000000000001000000000000000000000001111,1343.5519111156464
15,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1306.9874370098114
16,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1241.4324684143066
17,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1053.7927629947662
18,[154.26516625],100,"46.375142365426605, 317.4773321808886, 427.8197366744689, 502.7452738802847, 998.5705065775677, 1443.5742008173747",0000000000001111000000000000000011111111,1126.939287185669
19,[153.22906896],100,"46.34830231885921, 321.5850768698506, 431.29794431052835, 449.88457572818476, 952.5687269016851, 1533.7243368941567",0000000000000000000000000000000010001111,1294.3434927463531
20,[152.04599572],100,"48.731912933925706, 329.9887287041588, 453.7020893107461, 483.537391262471, 939.9791185067486, 1425.9805961113696",0000000000000000100100000000000000001111,1232.9498114585876
21,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1206.127380847931
